,taxon_name_w_authors,201807_accepted_name_w_author,202406_taxon_name_w_authors,202406_chained_accepted_name_w_author,202406_chained_accepted_species,202406_direct_accepted_name_w_author,202406_direct_accepted_species
617,Senecio candidissimus Greene,Packera candidissima (Greene) W.A.Weber & Á.Löve,Packera candidissima (Greene) W.A.Weber & Á.Löve,Packera candidissima (Greene) W.A.Weber & Á.Löve,Packera candidissima,Senecio candidissimus Greene,Senecio candidissimus
633,Centaurea sanctae-annae J.Wagner,Centaurea chalcidicaea Hayek,Centaurea chalcidicaea Hayek,Centaurea chalcidicaea Hayek,Centaurea chalcidicaea,Centaurea chalcidicea Hayek,Centaurea chalcidicea
692,Aster petiolatus (Hook.f.) F.Muell.,Celmisia verbascifolia Hook.f.,Celmisia verbascifolia Hook.f.,Celmisia verbascifolia Hook.f.,Celmisia verbascifolia,Celmisia petiolata Hook.f.,Celmisia petiolata
748,Gymnopsis verbesinoides DC.,Elaphandra moriana Pruski,Elaphandra moriana Pruski,Elaphandra moriana Pruski,Elaphandra moriana,Elaphandra verbesinoides (A.DC.) H.Rob.,Elaphandra verbesinoides
790,Aster oldhamii Hemsl.,Aster hispidus Thunb.,Aster hispidus Thunb.,Aster hispidus Thunb.,Aster hispidus,Kalimeris hispida Nees,Kalimeris hispida
799,Vernonia canescens (Kunth) Cass.,Vernonia arborescens (L.) Sw.,Vernonia arborescens (L.) Sw.,Vernonia arborescens (L.) Sw.,Vernonia arborescens,Lepidaploa canescens (Kunth) H.Rob.,Lepidaploa canescens
918,Leontodon major Mérat,Leontodon hispidus L.,Leontodon hispidus L.,Leontodon hispidus L.,Leontodon hispidus,Leontodon saxatilis subsp. rothii Maire,Leontodon saxatilis
931,Werneria ciliata Wedd. ex Sch.Bip.,Werneria pectinata Lingelsh.,Werneria pectinata Lingelsh.,Werneria pectinata Lingelsh.,Werneria pectinata,Xenophyllum ciliolatum (A.Gray) V.A.Funk,Xenophyllum ciliolatum
936,Vernonia villarii Elmer,Vernonia pyrrhopappus Sch.Bip. ex Klatt,Vernonia pyrrhopappus Sch.Bip. ex Klatt,Vernonia pyrrhopappus Sch.Bip. ex Klatt,Vernonia pyrrhopappus,Decaneuropsis obovata (Gaudich.) H.Rob. & Skvarla,Decaneuropsis obovata
1001,Hieracium durisetum (Nägeli & Peter) Üksip,Pilosella setigera Fr.,Pilosella setigera Fr.,Pilosella cymosa (L.) F.W.Schultz & Sch.Bip.,Pilosella cymosa,Pilosella cymosiformis (Froel.) Gottschl.,Pilosella cymosiformis
1046,Cirsium bipontinum F.W.Schultz,Cirsium acaule (L.) A.A.Weber ex Wigg.,Cirsium acaule (L.) A.A.Weber ex Wigg.,Cirsium acaule (L.) A.A.Weber ex Wigg.,Cirsium acaule,Cirsium bipontinum F.W.Schultz,Cirsium bipontinum
1090,Telanthophora cobanensis (J.M.Coult.) H.Rob. & Brettell,Senecio cobanensis J.M.Coult.,Senecio cobanensis J.M.Coult.,Senecio cobanensis J.M.Coult.,Senecio cobanensis,Telanthophora cobanensis (J.M.Coult.) H.Rob. & Brettell,Telanthophora cobanensis
1181,Euthamia caroliniana (L.) Greene ex Porter & Britton,Euthamia graminifolia (L.) Nutt.,Euthamia graminifolia (L.) Nutt.,Euthamia graminifolia (L.) Nutt.,Euthamia graminifolia,Euthamia caroliniana (L.) Greene ex Porter & Britton,Euthamia caroliniana
1304,Vernonia polyanthes Less.,Vernonanthura phosphorica (Vell.) H.Rob.,Vernonanthura phosphorica (Vell.) H.Rob.,Vernonanthura phosphorica (Vell.) H.Rob.,Vernonanthura phosphorica,Vernonia polyanthes Less.,Vernonia polyanthes
1343,Artemisia arenaria DC.,Artemisia campestris subsp. inodora Nyman,Artemisia campestris subsp. inodora Nyman,Artemisia campestris subsp. inodora Nyman,Artemisia campestris,Artemisia arenaria DC.,Artemisia arenaria
1399,Gnaphalium sandwicensium Gaudich.,Pseudognaphalium sandwicensium (Gaudich.) Anderb.,Pseudognaphalium sandwicensium (Gaudich.) Anderb.,Pseudognaphalium sandwicensium (Gaudich.) Anderb.,Pseudognaphalium sandwicensium,Gnaphalium sandwicensium Gaudich.,Gnaphalium sandwicensium
1401,Sphenogyne chrysanthemoides Less.,Ursinia speciosa DC.,Ursinia speciosa DC.,Ursinia speciosa DC.,Ursinia speciosa,Ursinia chrysanthemoides (Less.) Harv.,Ursinia chrysanthemoides
1406,Centaurea integrans Naggi,Centaurea aplolepa subsp. lunensis (Fiori) Dostál,Centaurea aplolepa subsp. lunensis (Fiori) Dostál,Centaurea aplolepa subsp. lunensis (Fiori) Dostál,Centaurea aplolepa,Centaurea integrans Naggi,Centaurea integrans
1446,Gundelia glabra Mill.,Gundelia tournefortii L.,Gundelia tournefortii L.,Gundelia tournefortii L.,Gundelia tournefortii,Gundelia glabra Mill.,Gundelia glabra
1457,Hedypnois pendula Willd.,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides (L.) F.W.Schmidt,Hedypnois rhagadioloides,Hedypnois pendula Willd.,Hedypnois pendula
1473,Rhysolepis santacatarinensis H.Rob. & A.J.Moore,Viguiera santacatarinense (H.Rob. & A.J.Moore) A.A.Sáenz,Viguiera santacatarinense (H.Rob. & A.J.Moore) A.A.Sáenz,Viguiera santacatarinense (H.Rob. & A.J.Moore) A.A.Sáenz,Viguiera santacatarinense,Aldama santacatarinensis (H.Rob. & A.J.Moore) E.E.Schill. & Panero,Aldama santacatarinensis
1546,Artemisia subulosa Willd. ex DC.,Artemisia campestris subsp. inodora Nyman,Artemisia campestris subsp. inodora Nyman,Artemisia campestris subsp. inodora Nyman,Artemisia campestris,Artemisia arenaria H.C.Fu,Artemisia arenaria
1562,Krigia pinnatifida Bertero ex DC.,Microseris lanceolata (Walp.) Sch.Bip.,Microseris lanceolata (Walp.) Sch.Bip.,Microseris lanceolata (Walp.) Sch.Bip.,Microseris lanceolata,Microseris pygmaea D.Don,Microseris pygmaea
1575,Artemisia longiflora Pamp.,Artemisia vulgaris L.,Artemisia vulgaris L.,Artemisia vulgaris L.,Artemisia vulgaris,Artemisia indica Willd.,Artemisia indica
1615,Tagetes corymbosa Sweet,Tagetes erecta L.,Tagetes erecta L.,Tagetes erecta L.,Tagetes erecta,Tagetes coronopifolia Willd.,Tagetes coronopifolia
1616,Eupatorium trinervatum Sessé & Moc.,Baccharis inamoena Gardner,Baccharis inamoena Gardner,Baccharis rufidula (Spreng.) Joch.Müll.,Baccharis rufidula,Baccharis trinervis Pers.,Baccharis trinervis
1671,Emilia everettii (Hemsl.) Steenis,Senecio everettii Hemsl.,Senecio everettii Hemsl.,Senecio everettii Hemsl.,Senecio everettii,Emilia everettii (Hemsl.) Steenis,Emilia everettii
1678,Chrysanthemum grandiflorum (Desf.) Dum.Cours.,Tanacetum balsamita L.,Tanacetum balsamita L.,Tanacetum balsamita L.,Tanacetum balsamita,Plagius grandis (L.) Alavi & Heywood,Plagius grandis
1692,Microseris scapigera f. linearis Allan,Microseris lanceolata (Walp.) Sch.Bip.,Microseris lanceolata (Walp.) Sch.Bip.,Microseris lanceolata (Walp.) Sch.Bip.,Microseris lanceolata,Microseris scapigera Sch.Bip.,Microseris scapigera
1795,Baccharis baldwinii Griseb.,Baccharis tridentata Vahl,Baccharis tridentata Vahl,Baccharis tridentata Vahl,Baccharis tridentata,Baccharis linearifolia Pers.,Baccharis linearifolia
1803,Leontodon carreiroi (Gand.) Palhinha,Leontodon filii (Hochst. ex Seub.) Paiva & Ormonde,Leontodon filii (Hochst. ex Seub.) Paiva & Ormonde,Leontodon filii (Hochst. ex Seub.) Paiva & Ormonde,Leontodon filii,Leontodon carreiroi (Gand.) Palhinha,Leontodon carreiroi
1878,Helichrysum leptolepis DC.,Leiocarpa leptolepis (DC.) Paul G.Wilson,Leiocarpa leptolepis (DC.) Paul G.Wilson,Leiocarpa leptolepis (DC.) Paul G.Wilson,Leiocarpa leptolepis,Helichrysum candolleanum H.Buek,Helichrysum candolleanum
1907,Stobaea carlinoides Thunb.,Berkheya onobromoides var. carlinoides (Thunb.) Roessler,Berkheya onobromoides var. carlinoides (Thunb.) Roessler,Berkheya onobromoides var. carlinoides (Thunb.) Roessler,Berkheya onobromoides,Berkheya carlinoides Willd.,Berkheya carlinoides
1909,Cacalia clarkeana Kuntze,Phyllocephalum hookeri (C.B.Clarke) Uniyal,Phyllocephalum hookeri (C.B.Clarke) Uniyal,Phyllocephalum hookeri (C.B.Clarke) Uniyal,Phyllocephalum hookeri,Phyllocephalum scabridum (DC.) K.Kirkman,Phyllocephalum scabridum
1949,Gnaphalium saxicola Fassett,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Pseudognaphalium obtusifolium (L.) Hilliard & B.L.Burtt,Pseudognaphalium obtusifolium,Pseudognaphalium saxicola (Fassett) H.E.Ballard & Feller,Pseudognaphalium saxicola
2004,Santolina suaveolens Pursh,Matricaria matricarioides (Less.) Porter,Matricaria matricarioides (Less.) Porter,Matricaria matricarioides (Less.) Porter,Matricaria matricarioides,Matricaria discoidea DC.,Matricaria discoidea
2124,Espeletia rufescens Cuatrec.,Espeletia semiglobulata Cuatrec.,Espeletia semiglobulata Cuatrec.,Espeletia semiglobulata Cuatrec.,Espeletia semiglobulata,Espeletia moritziana Sch.Bip. ex Wedd.,Espeletia moritziana
2146,Conyza serrulata Lam.,Baccharis pingraea DC.,Baccharis pingraea DC.,Baccharis glutinosa Pers.,Baccharis glutinosa,Baccharis serrulata Pers.,Baccharis serrulata
2182,Absinthium rupestre (L.) Schrank,Artemisia alba Turra,Artemisia alba Turra,Artemisia alba Turra,Artemisia alba,Artemisia rupestris L.,Artemisia rupestris
2200,Gnaphalium spicatum Lam.,Gnaphalium coarctatum Willd.,Gnaphalium coarctatum Willd.,Gnaphalium coarctatum Willd.,Gnaphalium coarctatum,Gamochaeta coarctata (Willd.) Kerguélen,Gamochaeta coarctata
2247,Conyza montevidensis Spreng.,Baccharis salicina Torr. & A.Gray,Baccharis salicina Torr. & A.Gray,Baccharis salicina Torr. & A.Gray,Baccharis salicina,Baccharis glutinosa Pers.,Baccharis glutinosa
2289,Senecio hypoleucus Muschl.,Dendrosenecio adnivalis subsp. friesiorum (Mildbr.) E.B.Knox,Dendrosenecio adnivalis subsp. friesiorum (Mildbr.) E.B.Knox,Dendrosenecio adnivalis subsp. friesiorum (Mildbr.) E.B.Knox,Dendrosenecio adnivalis,Senecio hypoleucus Muschl.,Senecio hypoleucus
2300,Aster celmisia F.Muell.,Celmisia asteliifolia Hook.f.,Celmisia asteliifolia Hook.f.,Celmisia asteliifolia Hook.f.,Celmisia asteliifolia,Celmisia longifolia Cass.,Celmisia longifolia
2328,Packera resedifolia (Less.) Á.Löve & D.Löve,Packera cymbalaria (Pursh) W.A.Weber & Á.Löve,Packera cymbalaria (Pursh) W.A.Weber & Á.Löve,Packera cymbalaria (Pursh) W.A.Weber & Á.Löve,Packera cymbalaria,Packera heterophylla (Fisch.) E.Wiebe,Packera heterophylla
2332,Hieracium cymosum subsp. pubescens Fr.,Pilosella cymosa subsp. vaillantii (Tausch) S.Bräut. & Greuter,Pilosella cymosa subsp. vaillantii (Tausch) S.Bräut. & Greuter,Pilosella cymosa subsp. vaillantii (Tausch) S.Bräut. & Greuter,Pilosella cymosa,Pilosella vaillantii (Tausch) Soják,Pilosella vaillantii
2351,Leontodon hirsutus Hook.,Agoseris apargioides (Less.) Greene,Agoseris apargioides (Less.) Greene,Agoseris apargioides (Less.) Greene,Agoseris apargioides,Agoseris hirsuta Greene,Agoseris hirsuta
2432,Baccharis medullosa DC.,Baccharis salicina Torr. & A.Gray,Baccharis salicina Torr. & A.Gray,Baccharis salicina Torr. & A.Gray,Baccharis salicina,Baccharis glutinosa Pers.,Baccharis glutinosa
2447,Packera actinella (Greene) W.A.Weber & Á.Löve,Senecio actinella Greene,Senecio actinella Greene,Senecio actinella Greene,Senecio actinella,Packera actinella (Greene) W.A.Weber & Á.Löve,Packera actinella
2450,Dichrocephala paniculata Miq.,Myriactis wightii DC.,Myriactis wightii DC.,Myriactis wightii DC.,Myriactis wightii,Dichrocephala integrifolia (L.f.) Kuntze,Dichrocephala integrifolia
2523,Crepis virgata Lapeyr.,Picris angustifolia DC.,Picris angustifolia DC.,Picris angustifolia DC.,Picris angustifolia,Picris hieracioides L.,Picris hieracioides
2554,Crepis kochii Tchich.,Crepis multicaulis Ledeb.,Crepis multicaulis Ledeb.,Crepis multicaulis Ledeb.,Crepis multicaulis,Crepis sancta (L.) Bornm.,Crepis sancta
2627,Verbesina schomburgkii Sch.Bip. ex Klatt,Verbesina guianensis Baker,Verbesina guianensis Baker,Verbesina guianensis Baker,Verbesina guianensis,Verbesina schomburgkii Sch.Bip. ex Klatt,Verbesina schomburgkii
2661,Vernonia giannasii Stutts,Cuatrecasanthus flexipappus (Gleason) H.Rob.,Cuatrecasanthus flexipappus (Gleason) H.Rob.,Cuatrecasanthus flexipappus (Gleason) H.Rob.,Cuatrecasanthus flexipappus,Cuatrecasanthus giannasii (Stutts) H.Rob. & V.A.Funk,Cuatrecasanthus giannasii
2674,Mulgedium azureum (Ledeb.) DC.,Lactuca azurea (Ledeb.) Danguy,Lactuca azurea (Ledeb.) Danguy,Lactuca azurea (Ledeb.) Danguy,Lactuca azurea,Cicerbita azurea Beauverd,Cicerbita azurea
2713,Artemisia inodora M.Bieb.,Artemisia campestris subsp. inodora Nyman,Artemisia campestris subsp. inodora Nyman,Artemisia campestris subsp. inodora Nyman,Artemisia campestris,Artemisia marschalliana Spreng.,Artemisia marschalliana
2726,Taraxacum lacerilobum Dahlst.,Taraxacum acrolobum Dahlst.,Taraxacum acrolobum Dahlst.,Taraxacum paradoxum Palmgr.,Taraxacum paradoxum,Taraxacum macrolobum Dahlst.,Taraxacum macrolobum
2733,Olearia clemensiae Mattf.,Olearia platyphylla Mattf.,Olearia platyphylla Mattf.,Olearia platyphylla Mattf.,Olearia platyphylla,Olearia clemensiae Mattf.,Olearia clemensiae
2787,Crepis hieracioides Lam.,Picris angustifolia DC.,Picris angustifolia DC.,Picris angustifolia DC.,Picris angustifolia,Picris hieracioides L.,Picris hieracioides
2861,Pentzia spinescens Less.,Oncosiphon suffruticosum (L.) Källersjö,Oncosiphon suffruticosum (L.) Källersjö,Oncosiphon suffruticosum (L.) Källersjö,Oncosiphon suffruticosum,Pentzia spinescens Less.,Pentzia spinescens
2881,Tragopogon dshimilensis K.Koch,Tragopogon porrifolius subsp. longirostris (Sch.Bip.) Greuter,Tragopogon porrifolius subsp. longirostris (Sch.Bip.) Greuter,Tragopogon coelesyriacus Boiss.,Tragopogon coelesyriacus,Tragopogon dshimilensis K.Koch,Tragopogon dshimilensis
2907,Cacalia thunbergii Nakai,Senecio syneilesis Franch. & Sav.,Senecio syneilesis Franch. & Sav.,Senecio syneilesis Franch. & Sav.,Senecio syneilesis,Syneilesis palmata Maxim.,Syneilesis palmata
3004,Oyedaea episcopalis H.Rob.,Heterocondylus vitalbae (DC.) R.M.King & H.Rob.,Heterocondylus vitalbae (DC.) R.M.King & H.Rob.,Heterocondylus vitalbae (DC.) R.M.King & H.Rob.,Heterocondylus vitalbae,Dimerostemma episcopale (H.Rob.) H.Rob.,Dimerostemma episcopale
3060,Molina salicifolia Ruiz & Pav.,Baccharis salicina Torr. & A.Gray,Baccharis salicina Torr. & A.Gray,Baccharis salicina Torr. & A.Gray,Baccharis salicina,Baccharis salicifolia (Ruiz & Pav.) Pers.,Baccharis salicifolia
3216,Vernonia mespilifolia Less.,Gymnanthemum mespilifolium (Less.) H.Rob.,Gymnanthemum mespilifolium (Less.) H.Rob.,Gymnanthemum mespilifolium (Less.) H.Rob.,Gymnanthemum mespilifolium,Vernonia mespilifolia Less.,Vernonia mespilifolia
3330,Erigeron bonariensis f. glabrata Speg.,Erigeron floribundus (Kunth) Sch.Bip.,Erigeron floribundus (Kunth) Sch.Bip.,Erigeron floribundus (Kunth) Sch.Bip.,Erigeron floribundus,Erigeron sumatrensis Retz.,Erigeron sumatrensis
3332,Erigeron angustifolius (A.Gray) Rydb.,Erigeron glacialis (Nutt.) A.Nelson,Erigeron glacialis (Nutt.) A.Nelson,Erigeron glacialis (Nutt.) A.Nelson,Erigeron glacialis,Erigeron peregrinus subsp. peregrinus ,Erigeron peregrinus
3345,Gnaphalium hypoleucum DC.,Pseudognaphalium hypoleucum (DC.) Hilliard & B.L.Burtt,Pseudognaphalium hypoleucum (DC.) Hilliard & B.L.Burtt,Pseudognaphalium hypoleucum (DC.) Hilliard & B.L.Burtt,Pseudognaphalium hypoleucum,Gnaphalium hypoleucum DC.,Gnaphalium hypoleucum
3385,Taraxacum praecox Schischk.,Taraxacum monochlamydeum Hand.-Mazz.,Taraxacum monochlamydeum Hand.-Mazz.,Taraxacum monochlamydeum Hand.-Mazz.,Taraxacum monochlamydeum,Taraxacum fedtschenkoi Hand.-Mazz.,Taraxacum fedtschenkoi
3420,Gnaphalium simplex A.Rich. & Less.,Euchiton collinus Cass.,Euchiton collinus Cass.,Euchiton collinus Cass.,Euchiton collinus,Euchiton japonicus (Thunb.) Holub,Euchiton japonicus
3469,Vernonia macahensis Glaz. ex G.M.Barroso,Lessingianthus lacunosus (Mart. ex DC.) H.Rob.,Lessingianthus lacunosus (Mart. ex DC.) H.Rob.,Lessingianthus lacunosus (Mart. ex DC.) H.Rob.,Lessingianthus lacunosus,Lepidaploa macahensis (Glaz. ex G.M.Barroso) H.Rob.,Lepidaploa macahensis
3565,Matricaria subnivalis (Pobed.) Rauschert,Matricaria breviradiata (Ledeb.) Rauschert,Matricaria breviradiata (Ledeb.) Rauschert,Matricaria breviradiata (Ledeb.) Rauschert,Matricaria breviradiata,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum
3617,Evax lasiocarpa Cutanda,Filago carpetana (Lange) Chrtek & Holub,Filago carpetana (Lange) Chrtek & Holub,Filago carpetana (Lange) Chrtek & Holub,Filago carpetana,Filago pygmaea subsp. pygmaea ,Filago pygmaea
3676,Werneria obtusiloba S.F.Blake,Werneria heteroloba Wedd.,Werneria heteroloba Wedd.,Werneria heteroloba Wedd.,Werneria heteroloba,Werneria obtusiloba S.F.Blake,Werneria obtusiloba
3708,Solidago racemosa Greene,Solidago simplex var. racemosa (Greene) G.S.Ringius,Solidago simplex var. racemosa (Greene) G.S.Ringius,Solidago simplex var. racemosa (Greene) G.S.Ringius,Solidago simplex,Solidago racemosa Greene,Solidago racemosa
3763,Vernonia maestralis Ekman ex Urb.,Vernonia sericea Rich.,Vernonia sericea Rich.,Vernonia sericea Rich.,Vernonia sericea,Lepidaploa sericea (Rich.) H.Rob.,Lepidaploa sericea
3828,Senecio moranii T.M.Barkley,Packera moranii (T.M.Barkley) C.Jeffrey,Packera moranii (T.M.Barkley) C.Jeffrey,Packera moranii (T.M.Barkley) C.Jeffrey,Packera moranii,Senecio moranii T.M.Barkley,Senecio moranii
3852,Aster breweri (A.Gray) Semple,Eucephalus breweri (A.Gray) G.L.Nesom,Eucephalus breweri (A.Gray) G.L.Nesom,Eucephalus breweri (A.Gray) G.L.Nesom,Eucephalus breweri,Aster breweri (A.Gray) Semple,Aster breweri
3870,Erechtites hispidula (A.Rich.) DC.,Senecio hispidulus A.Rich.,Senecio hispidulus A.Rich.,Senecio hispidulus A.Rich.,Senecio hispidulus,Erechtites hispidula (A.Rich.) DC.,Erechtites hispidula
3885,Eupatorium maculatum f. maculatum ,Eupatorium maculatum L.,Eupatorium maculatum L.,Eupatorium maculatum L.,Eupatorium maculatum,Eutrochium maculatum (L.) E.E.Lamont,Eutrochium maculatum
3890,Carduus griseus Rydb.,Cirsium botryodes Petr.,Cirsium botryodes Petr.,Cirsium botryodes Petr.,Cirsium botryodes,Cirsium griseum H.Lév.,Cirsium griseum
3892,Grossheimia ossica (K.Koch) Sosn. & Takht.,Centaurea resupinata subsp. lagascae (Nyman) Fern.Casas & Susanna,Centaurea resupinata subsp. lagascae (Nyman) Fern.Casas & Susanna,Centaurea resupinata subsp. lagascae (Nyman) Fern.Casas & Susanna,Centaurea resupinata,Centaurea polyphylla Ledeb. ex Nordm.,Centaurea polyphylla
3930,Leontopodium paradoxum J.R.Drumm.,Leontopodium jacotianum Beauverd,Leontopodium jacotianum Beauverd,Leontopodium jacotianum Beauverd,Leontopodium jacotianum,Leontopodium paradoxum J.R.Drumm.,Leontopodium paradoxum
3931,Erigeron alpestris Gardner,Leptostelma maxima D.Don,Leptostelma maxima D.Don,Leptostelma maxima D.Don,Leptostelma maxima,Leptostelma maximum D.Don,Leptostelma maximum
3944,Cnicus nidulans C.Winkl. ex O.Fedtsch. & B.Fedtsch.,Cirsium kosmelii (Adams) Fisch. ex Hohen.,Cirsium kosmelii (Adams) Fisch. ex Hohen.,Cirsium kosmelii (Adams) Fisch. ex Hohen.,Cirsium kosmelii,Cirsium pugnax Sommier & Levier,Cirsium pugnax
4011,Gnaphalium pusillum Vand.,Argyrotegium poliochlorum (N.G.Walsh) J.M.Ward & Breitw.,Argyrotegium poliochlorum (N.G.Walsh) J.M.Ward & Breitw.,Argyrotegium poliochlorum (N.G.Walsh) J.M.Ward & Breitw.,Argyrotegium poliochlorum,Gnaphalium supinum L.,Gnaphalium supinum
4141,Taraxacum hirsutum (Hook.) Torr. & A.Gray,Agoseris apargioides (Less.) Greene,Agoseris apargioides (Less.) Greene,Agoseris apargioides (Less.) Greene,Agoseris apargioides,Agoseris hirsuta Greene,Agoseris hirsuta
4148,Gnaphalium donianum Sch.Bip.,Anaphalis nepalensis (Spreng.) Hand.-Mazz.,Anaphalis nepalensis (Spreng.) Hand.-Mazz.,Anaphalis nepalensis (Spreng.) Hand.-Mazz.,Anaphalis nepalensis,Anaphalis cuneifolia Hook.f.,Anaphalis cuneifolia
4225,Picris humifusa Willd.,Helminthotheca echioides (L.) Holub,Helminthotheca echioides (L.) Holub,Helminthotheca echioides (L.) Holub,Helminthotheca echioides,Picris hieracioides L.,Picris hieracioides
