,taxon_name_w_authors,previous_chain_accepted_name_w_author,202406_taxon_name_w_authors,202406_chained_accepted_name_w_author,202406_chained_accepted_species,202406_direct_accepted_name_w_author,202406_direct_accepted_species,202406_chained_accepted_genus,202406_direct_accepted_genus
28400,Diplopappus ericoides var. ericoides ,Arrowsmithia ericifolia (Forssk.) N.G.Bergh,Arrowsmithia ericifolia (Forssk.) N.G.Bergh,Arrowsmithia ericifolia (Forssk.) N.G.Bergh,Arrowsmithia ericifolia,Chaetopappa ericoides (Torr.) G.L.Nesom,Chaetopappa ericoides,Arrowsmithia,Chaetopappa
28415,Tripteris clandestina var. clandestina ,Osteospermum monstrosum (Burm.f.) J.C.Manning & Goldblatt,Osteospermum monstrosum (Burm.f.) J.C.Manning & Goldblatt,Osteospermum monstrosum (Burm.f.) J.C.Manning & Goldblatt,Osteospermum monstrosum,Monoculus monstrosus (Burm.f.) B.Nord.,Monoculus monstrosus,Osteospermum,Monoculus
28460,Senecio robustus var. robustus ,Ligularia robusta DC.,Ligularia robusta DC.,Ligularia robusta DC.,Ligularia robusta,Senecio robustus Sch.Bip.,Senecio robustus,Ligularia,Senecio
28467,Senecio corymbosus Wall. ex DC.,Cissampelopsis corymbosa (Wall. ex DC.) C.Jeffrey & Y.L.Chen,Cissampelopsis corymbosa (Wall. ex DC.) C.Jeffrey & Y.L.Chen,Cissampelopsis corymbosa (Wall. ex DC.) C.Jeffrey & Y.L.Chen,Cissampelopsis corymbosa,Senecio corymbosus Wall. ex DC.,Senecio corymbosus,Cissampelopsis,Senecio
28575,Eupatorium steetzii var. steetzii ,Badilloa steetzii (B.L.Rob.) R.M.King & H.Rob.,Badilloa steetzii (B.L.Rob.) R.M.King & H.Rob.,Badilloa steetzii (B.L.Rob.) R.M.King & H.Rob.,Badilloa steetzii,Eupatorium steetzii B.L.Rob.,Eupatorium steetzii,Badilloa,Eupatorium
28636,Hieracium subrubense subsp. subrubense ,Pilosella subrubens (Arv.-Touv.) Zahn,Pilosella subrubens (Arv.-Touv.) Zahn,Pilosella subrubens (Arv.-Touv.) Zahn,Pilosella subrubens,Hieracium subrubense Arv.-Touv.,Hieracium subrubense,Pilosella,Hieracium
28643,Lasiopogon micropoides var. micropoides ,Ifloga molluginoides (DC.) Hilliard,Ifloga molluginoides (DC.) Hilliard,Ifloga molluginoides (DC.) Hilliard,Ifloga molluginoides,Lasiopogon micropoides DC.,Lasiopogon micropoides,Ifloga,Lasiopogon
28655,Eupatorium amygdalinum var. revoluta Baker,Chromolaena hirsuta (Hook. & Arn.) R.M.King & H.Rob.,Chromolaena hirsuta (Hook. & Arn.) R.M.King & H.Rob.,Chromolaena hirsuta (Hook. & Arn.) R.M.King & H.Rob.,Chromolaena hirsuta,Ayapana stenolepis (Steetz) R.M.King & H.Rob.,Ayapana stenolepis,Chromolaena,Ayapana
28689,Achillea gerberi var. gerberi ,Achillea micrantha Willd.,Achillea micrantha Willd.,Achillea micrantha Willd.,Achillea micrantha,Aspilia foliacea Baker,Aspilia foliacea,Achillea,Aspilia
28701,Conyza variegata Sch.Bip. ex A.Rich.,Erigeron variegatus Sch.Bip. ex Schweinf. & Asch.,Erigeron variegatus Sch.Bip. ex Schweinf. & Asch.,Erigeron variegatus Sch.Bip. ex Schweinf. & Asch.,Erigeron variegatus,Conyza variegata Sch.Bip. ex A.Rich.,Conyza variegata,Erigeron,Conyza
28702,Tripteris microcarpa var. microcarpa ,Osteospermum microcarpum (Harv.) Norl.,Osteospermum microcarpum (Harv.) Norl.,Osteospermum microcarpum (Harv.) Norl.,Osteospermum microcarpum,Tripteris microcarpa Harv.,Tripteris microcarpa,Osteospermum,Tripteris
28725,Hieracium pilosum subsp. pilosum ,Crepis pyrenaica (L.) Greuter,Crepis pyrenaica (L.) Greuter,Crepis pyrenaica (L.) Greuter,Crepis pyrenaica,Hieracium pilosum subsp. pilosum ,Hieracium pilosum,Crepis,Hieracium
28891,Vernonia terniflora Less.,Piptocoma vernonioides (Kunth) Pruski,Piptocoma vernonioides (Kunth) Pruski,Piptocoma vernonioides (Kunth) Pruski,Piptocoma vernonioides,Vernonia terniflora Less.,Vernonia terniflora,Piptocoma,Vernonia
28918,Senecio onae var. onae ,Dendrophorbium scytophyllum (Kunth) C.Jeffrey,Dendrophorbium scytophyllum (Kunth) C.Jeffrey,Dendrophorbium scytophyllum (Kunth) C.Jeffrey,Dendrophorbium scytophyllum,Pentacalia onae (Cuatrec.) Cuatrec.,Pentacalia onae,Dendrophorbium,Pentacalia
28919,Senecio dahuricus var. dahuricus ,Parasenecio auriculatus (DC.) J.R.Grant,Parasenecio auriculatus (DC.) J.R.Grant,Parasenecio auriculatus (DC.) H.Koyama,Parasenecio auriculatus,Senecio dahuricus Sch.Bip.,Senecio dahuricus,Parasenecio,Senecio
28967,Senecio verticillatus var. verticillatus ,Monticalia verticillata Klatt,Monticalia verticillata Klatt,Monticalia verticillata Klatt,Monticalia verticillata,Pentacalia verticillata (Klatt) Cuatrec.,Pentacalia verticillata,Monticalia,Pentacalia
28972,Vernonia vauthieriana var. vauthieriana ,Echinocoryne subulata (Baker) H.Rob.,Echinocoryne subulata (Baker) H.Rob.,Echinocoryne subulata (Baker) H.Rob.,Echinocoryne subulata,Lepidaploa vauthieriana (DC.) H.Rob.,Lepidaploa vauthieriana,Echinocoryne,Lepidaploa
28996,Gymnanthemum coloratum (Willd.) H.Rob. & B.Kahn,Vernonia colorata Drake,Vernonia colorata Drake,Vernonia colorata Drake,Vernonia colorata,Gymnanthemum coloratum (Willd.) H.Rob. & B.Kahn,Gymnanthemum coloratum,Vernonia,Gymnanthemum
29002,Eupatorium trifoliatum var. trifoliatum ,Eutrochium purpureum (L.) E.E.Lamont,Eutrochium purpureum (L.) E.E.Lamont,Eutrochium purpureum (L.) E.E.Lamont,Eutrochium purpureum,Eupatorium purpureum L.,Eupatorium purpureum,Eutrochium,Eupatorium
29072,Senecio stenodon var. stenodon ,Elekmania stenodon (Urb.) B.Nord.,Elekmania stenodon (Urb.) B.Nord.,Elekmania stenodon (Urb.) B.Nord.,Elekmania stenodon,Senecio stenodon Urb.,Senecio stenodon,Elekmania,Senecio
29226,Vernonia linifolia bl.,Cyanthillium cinereum var. linifolium (Blume) Karthik. & Moorthy,Cyanthillium cinereum var. linifolium (Blume) Karthik. & Moorthy,Cyanthillium cinereum var. linifolium (Blume) Karthik. & Moorthy,Cyanthillium cinereum,Vernonia linifolia bl.,Vernonia linifolia,Cyanthillium,Vernonia
29272,Pyrethrum transiliense var. transiliense ,Richteria pyrethroides Kar. & Kir.,Richteria pyrethroides Kar. & Kir.,Richteria pyrethroides Kar. & Kir.,Richteria pyrethroides,Tanacetum transiliense Herder,Tanacetum transiliense,Richteria,Tanacetum
29312,Mikania arborea Kunth,Raulinoreitzia crenulata (Spreng.) R.M.King & H.Rob.,Raulinoreitzia crenulata (Spreng.) R.M.King & H.Rob.,Raulinoreitzia crenulata (Spreng.) R.M.King & H.Rob.,Raulinoreitzia crenulata,Ageratina dendroides (Spreng.) R.M.King & H.Rob.,Ageratina dendroides,Raulinoreitzia,Ageratina
29335,Crepidifolium afghanicum (Podlech) Sennikov,Askellia flexuosa (Ledeb.) W.A.Weber,Askellia flexuosa (Ledeb.) W.A.Weber,Askellia flexuosa (Ledeb.) W.A.Weber,Askellia flexuosa,Crepidiastrum afghanicum (Podlech) Ghafoor & Qaiser,Crepidiastrum afghanicum,Askellia,Crepidiastrum
29370,Senecio bejucosus var. bejucosus ,Pentacalia breviligulata (Hieron.) Cuatrec.,Pentacalia breviligulata (Hieron.) Cuatrec.,Pentacalia breviligulata (Hieron.) Cuatrec.,Pentacalia breviligulata,Senecio bejucosus Cuatrec.,Senecio bejucosus,Pentacalia,Senecio
29488,Aster incisa var. incisa ,Aster incisus Fisch.,Aster incisus Fisch.,Kalimeris incisa (Fisch.) DC.,Kalimeris incisa,Aster incisa ,Aster incisa,Kalimeris,Aster
29522,Dinoseris salicifolia var. salicifolia ,Hyaloseris salicifolia Hieron.,Hyaloseris salicifolia Hieron.,Hyaloseris salicifolia Hieron.,Hyaloseris salicifolia,Dinoseris salicifolia Griseb.,Dinoseris salicifolia,Hyaloseris,Dinoseris
29528,Vernonia leutzelburgii Mattf.,Lessingianthus heringeri (H.Rob.) H.Rob.,Lessingianthus heringeri (H.Rob.) H.Rob.,Lessingianthus heringeri (H.Rob.) H.Rob.,Lessingianthus heringeri,Lepidaploa luetzelburgii (Mattf.) H.Rob.,Lepidaploa luetzelburgii,Lessingianthus,Lepidaploa
29570,Spilanthes oleracea var. oleracea ,Acmella oleracea (L.) R.K.Jansen,Acmella oleracea (L.) R.K.Jansen,Acmella oleracea (L.) R.K.Jansen,Acmella oleracea,Spilanthes oleracea L.,Spilanthes oleracea,Acmella,Spilanthes
29593,Klasea centauroides subsp. centauroides ,Klasea centauroides (L.) Cass.,Klasea centauroides (L.) Cass.,Serratula centauroides L.,Serratula centauroides,Klasea centauroides subsp. centauroides ,Klasea centauroides,Serratula,Klasea
29627,Gnaphalium sandwicensium var. sandwicensium ,Pseudognaphalium sandwicensium (Gaudich.) Anderb.,Pseudognaphalium sandwicensium (Gaudich.) Anderb.,Pseudognaphalium sandwicensium (Gaudich.) Anderb.,Pseudognaphalium sandwicensium,Gnaphalium sandwicensium Gaudich.,Gnaphalium sandwicensium,Pseudognaphalium,Gnaphalium
29710,Senecio nagensium var. nagensium ,Synotis nagensium (C.B.Clarke) C.Jeffrey & Y.L.Chen,Synotis nagensium (C.B.Clarke) C.Jeffrey & Y.L.Chen,Synotis nagensium (C.B.Clarke) C.Jeffrey & Y.L.Chen,Synotis nagensium,Senecio nagensium C.B.Clarke,Senecio nagensium,Synotis,Senecio
29745,Artemisia tenuisecta Nevski,Seriphidium tenuisectum (Nevski) Poljakov,Seriphidium tenuisectum (Nevski) Poljakov,Seriphidium tenuisectum (Nevski) Poljakov,Seriphidium tenuisectum,Artemisia tenuisecta Nevski,Artemisia tenuisecta,Seriphidium,Artemisia
29776,Artemisia kaschgarica var. kaschgarica ,Seriphidium kaschgaricum (Krasch.) Poljakov,Seriphidium kaschgaricum (Krasch.) Poljakov,Seriphidium kaschgaricum (Krasch.) Poljakov,Seriphidium kaschgaricum,Artemisia kaschgarica Krasch.,Artemisia kaschgarica,Seriphidium,Artemisia
29791,Heteropappus oldhamii f. oldhamii ,Aster oldhamii Hemsl.,Aster oldhamii Hemsl.,Kalimeris hispida Nees,Kalimeris hispida,Heteropappus oldhamii (Hemsl.) Kitam.,Heteropappus oldhamii,Kalimeris,Heteropappus
29798,Leontodon tomentosus L.f.,Chaptalia albicans (Sw.) Vent. ex B.D.Jacks.,Chaptalia albicans (Sw.) Vent. ex B.D.Jacks.,Chaptalia albicans (Sw.) Vent. ex B.D.Jacks.,Chaptalia albicans,Leontodon tomentosus L.f.,Leontodon tomentosus,Chaptalia,Leontodon
29863,Vernonia rigiophylla Kuntze,Lessingianthus pseudopiptocarphus (H.Rob.) H.Rob.,Lessingianthus pseudopiptocarphus (H.Rob.) H.Rob.,Lessingianthus pseudopiptocarphus (H.Rob.) H.Rob.,Lessingianthus pseudopiptocarphus,Vernonanthura rigiophylla (Kuntze) H.Rob.,Vernonanthura rigiophylla,Lessingianthus,Vernonanthura
29865,Vernonia polyanthes var. polyanthes ,Vernonanthura phosphorica (Vell.) H.Rob.,Vernonanthura phosphorica (Vell.) H.Rob.,Vernonanthura phosphorica (Vell.) H.Rob.,Vernonanthura phosphorica,Vernonia polyanthes Less.,Vernonia polyanthes,Vernonanthura,Vernonia
29888,Eupatorium urticaefolium L.,Heterocondylus decipiens (Baker) R.M.King & H.Rob.,Heterocondylus decipiens (Baker) R.M.King & H.Rob.,Heterocondylus decipiens (Baker) R.M.King & H.Rob.,Heterocondylus decipiens,Praxelis pauciflora (Kunth) R.M.King & H.Rob.,Praxelis pauciflora,Heterocondylus,Praxelis
29907,Senecio corymbosus var. corymbosus ,Cissampelopsis corymbosa (Wall. ex DC.) C.Jeffrey & Y.L.Chen,Cissampelopsis corymbosa (Wall. ex DC.) C.Jeffrey & Y.L.Chen,Cissampelopsis corymbosa (Wall. ex DC.) C.Jeffrey & Y.L.Chen,Cissampelopsis corymbosa,Senecio corymbosus Wall. ex DC.,Senecio corymbosus,Cissampelopsis,Senecio
29970,Jurinea dolomiaea var. dolomiaea ,Dolomiaea macrocephala DC. ex Royle,Dolomiaea macrocephala DC. ex Royle,Dolomiaea macrocephala DC. ex Royle,Dolomiaea macrocephala,Jurinea dolomiaea Boiss.,Jurinea dolomiaea,Dolomiaea,Jurinea
30031,Senecio hypargyraeus var. hypargyraeus ,Hubertia hypargyrea (DC.) C.Jeffrey,Hubertia hypargyrea (DC.) C.Jeffrey,Hubertia hypargyrea (DC.) C.Jeffrey,Hubertia hypargyrea,Senecio hypargyraeus DC.,Senecio hypargyraeus,Hubertia,Senecio
30092,Tripleurospermum oreades var. oreades ,Tripleurospermum breviradiatum (Ledeb.) Pobed.,Tripleurospermum breviradiatum (Ledeb.) Pobed.,Matricaria breviradiata (Ledeb.) Rauschert,Matricaria breviradiata,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum,Matricaria,Tripleurospermum
30094,Senecio karstenii var. karstenii ,Dendrophorbium kleinioides (Kunth) B.Nord.,Dendrophorbium kleinioides (Kunth) B.Nord.,Pentacalia kleinioides (Kunth) Cuatrec.,Pentacalia kleinioides,Senecio karstenii Hieron.,Senecio karstenii,Pentacalia,Senecio
30134,Amblysperma minor Keighery,Trichocline spathulata (A.Cunn. ex DC.) J.H.Willis,Trichocline spathulata (A.Cunn. ex DC.) J.H.Willis,Trichocline spathulata (A.Cunn. ex DC.) J.H.Willis,Trichocline spathulata,Amblysperma minor Keighery,Amblysperma minor,Trichocline,Amblysperma
30136,Hieracium albipedunculatum subsp. albipedunculatum ,Pilosella anchusoides Arv.-Touv.,Pilosella anchusoides Arv.-Touv.,Pilosella anchusoides Arv.-Touv.,Pilosella anchusoides,Hieracium albipedunculatum Nägeli & Peter,Hieracium albipedunculatum,Pilosella,Hieracium
30227,Chrysocoma horizontalis Vell.,Lessingianthus obscurus (Less.) H.Rob.,Lessingianthus obscurus (Less.) H.Rob.,Lessingianthus obscurus (Less.) H.Rob.,Lessingianthus obscurus,Chrysocoma horizontalis Vell.,Chrysocoma horizontalis,Lessingianthus,Chrysocoma
30299,Conyza pinnatilobata var. pinnatilobata ,Nidorella pinnata (L.f.) J.C.Manning & Goldblatt,Nidorella pinnata (L.f.) J.C.Manning & Goldblatt,Nidorella pinnata (L.f.) J.C.Manning & Goldblatt,Nidorella pinnata,Conyza pinnata (L.f.) Kuntze,Conyza pinnata,Nidorella,Conyza
30395,Aster acris var. acris ,Galatella sedifolia subsp. dracunculoides (Lam.) Greuter,Galatella sedifolia subsp. dracunculoides (Lam.) Greuter,Galatella sedifolia subsp. dracunculoides (Lam.) Greuter,Galatella sedifolia,Aster acris S.G.Gmel.,Aster acris,Galatella,Aster
30478,Lipochaeta lavarum var. lavarum ,Wollastonia lavarum (Gaudich.) Orchard,Wollastonia lavarum (Gaudich.) Orchard,Wollastonia lavarum (Gaudich.) Orchard,Wollastonia lavarum,Lipochaeta lavarum (Gaudich.) DC.,Lipochaeta lavarum,Wollastonia,Lipochaeta
30490,Ageratum salicifolium Hemsley,Stylotrichium corymbosum Mattf.,Stylotrichium corymbosum Mattf.,Stylotrichium corymbosum Mattf.,Stylotrichium corymbosum,Ageratum salicifolium Hemsley,Ageratum salicifolium,Stylotrichium,Ageratum
30506,Heteropappus tataricus var. tataricus ,Aster biennis Ledeb.,Aster biennis Ledeb.,Kalimeris tatarica Lindl. ex DC.,Kalimeris tatarica,Heteropappus tataricus (Lindl. ex DC.) Tamamsch.,Heteropappus tataricus,Kalimeris,Heteropappus
30521,Mulgedium albanum var. albanum ,Cicerbita racemosa Beauverd,Cicerbita racemosa Beauverd,Cicerbita racemosa Beauverd,Cicerbita racemosa,Lactuca racemosa Willd.,Lactuca racemosa,Cicerbita,Lactuca
30569,Mulgedium rostratum (Blume) Zoll.,Melanoseris graciliflora (DC.) N.Kilian,Melanoseris graciliflora (DC.) N.Kilian,Melanoseris graciliflora (DC.) N.Kilian,Melanoseris graciliflora,Stenoseris graciliflora (Wall. ex DC.) C.Shih,Stenoseris graciliflora,Melanoseris,Stenoseris
30573,Eupatorium dictyophyllum DC.,Erigeron bonariensis L.,Erigeron bonariensis L.,Erigeron bonariensis L.,Erigeron bonariensis,Stomatanthes dyctiophyllus (DC.) H.Rob.,Stomatanthes dyctiophyllus,Erigeron,Stomatanthes
30625,Senecio organensis f. organensis ,Graphistylis organensis (Casar.) B.Nord.,Graphistylis organensis (Casar.) B.Nord.,Graphistylis organensis (Casar.) B.Nord.,Graphistylis organensis,Senecio organensis Casar.,Senecio organensis,Graphistylis,Senecio
30665,Baccharis elegans var. elegans ,Archibaccharis schiedeana (Benth.) J.D.Jacks.,Archibaccharis schiedeana (Benth.) J.D.Jacks.,Archibaccharis schiedeana (Benth.) J.D.Jacks.,Archibaccharis schiedeana,Baccharis bogotensis Kunth,Baccharis bogotensis,Archibaccharis,Baccharis
30763,Artemisia sogdiana Bunge,Seriphidium oliverianum (J.Gay ex Besser) K.Bremer & Humphries ex Y.R.Ling,Seriphidium oliverianum (J.Gay ex Besser) K.Bremer & Humphries ex Y.R.Ling,Seriphidium oliverianum (J.Gay ex Besser) K.Bremer & Humphries ex Y.R.Ling,Seriphidium oliverianum,Artemisia sogdiana Bunge,Artemisia sogdiana,Seriphidium,Artemisia
30787,Artemisia lehmanniana var. lehmanniana ,Seriphidium lehmannianum (Bunge) Poljakov,Seriphidium lehmannianum (Bunge) Poljakov,Seriphidium lehmannianum (Bunge) Poljakov,Seriphidium lehmannianum,Artemisia lehmanniana Bunge,Artemisia lehmanniana,Seriphidium,Artemisia
30814,Senecio reverdattoi K.Sobol.,Tephroseris turczaninovii subsp. reverdattoi (Sobolevsk.) E.Wiebe,Tephroseris turczaninovii subsp. reverdattoi (Sobolevsk.) E.Wiebe,Tephroseris reverdattoi (Sobolevsk.) Barkalov,Tephroseris reverdattoi,Senecio reverdattoi K.Sobol.,Senecio reverdattoi,Tephroseris,Senecio
30883,Aster simplex var. simplex ,Symphyotrichum subspicatum (Nees) G.L.Nesom,Symphyotrichum subspicatum (Nees) G.L.Nesom,Symphyotrichum subspicatum (Nees) G.L.Nesom,Symphyotrichum subspicatum,Miyamayomena simplex (Hand.-Mazz.) Y.L.Chen,Miyamayomena simplex,Symphyotrichum,Miyamayomena
30895,Calea pachensis var. pachensis ,Alloispermum pachensis (Hieron.) H.Rob.,Alloispermum pachensis (Hieron.) H.Rob.,Alloispermum pachensis (Hieron.) H.Rob.,Alloispermum pachensis,Calea pachensis Hieron.,Calea pachensis,Alloispermum,Calea
30903,Chlorocrepis tristis subsp. tristis ,Pilosella tristis F.W.Schultz & Sch.Bip.,Pilosella tristis F.W.Schultz & Sch.Bip.,Pilosella tristis F.W.Schultz & Sch.Bip.,Pilosella tristis,Hieracium triste Willd. ex Spreng.,Hieracium triste,Pilosella,Hieracium
30931,Vernonia silhetensis (DC.) Craib,Acilepis silhetensis (DC.) H.Rob.,Acilepis silhetensis (DC.) H.Rob.,Acilepis silhetensis (DC.) H.Rob.,Acilepis silhetensis,Vernonia silhetensis (DC.) Craib,Vernonia silhetensis,Acilepis,Vernonia
30971,Wedelia kotschyi var. kotschyi ,Aspilia kotschyi (Sch.Bip. ex Hochst.) Oliv.,Aspilia kotschyi (Sch.Bip. ex Hochst.) Oliv.,Aspilia kotschyi (Sch.Bip. ex Hochst.) Oliv.,Aspilia kotschyi,Wedelia kotschyi (Sch.Bip.) Soldano,Wedelia kotschyi,Aspilia,Wedelia
30979,Erechtites prenanthoides var. prenanthoides ,Erechtites minima (Poir.) DC.,Erechtites minima (Poir.) DC.,Erechtites minima (Poir.) DC.,Erechtites minima,Senecio prenanthoides A.Rich.,Senecio prenanthoides,Erechtites,Senecio
31094,Senecio buimalia var. buimalia ,Cissampelopsis buimalia (Buch.-Ham. ex D.Don) C.Jeffrey & Y.L.Chen,Cissampelopsis buimalia (Buch.-Ham. ex D.Don) C.Jeffrey & Y.L.Chen,Cissampelopsis buimalia (Buch.-Ham. ex D.Don) C.Jeffrey & Y.L.Chen,Cissampelopsis buimalia,Senecio buimalia Buch.-Ham. ex D.Don,Senecio buimalia,Cissampelopsis,Senecio
31117,Culcitium rufescens var. rufescens ,Senecio rufescens DC.,Senecio rufescens DC.,Senecio rufescens DC.,Senecio rufescens,Culcitium rufescens Humb. & Bonpl.,Culcitium rufescens,Senecio,Culcitium
31146,Inula wissmanniana f. wissmanniana ,Duhaldea wissmanniana (Hand.-Mazz.) Anderb.,Duhaldea wissmanniana (Hand.-Mazz.) Anderb.,Duhaldea wissmanniana (Hand.-Mazz.) Anderb.,Duhaldea wissmanniana,Inula wissmanniana Hand.-Mazz.,Inula wissmanniana,Duhaldea,Inula
31168,Artemisia glanduligera subsp. glanduligera ,Seriphidium glanduligerum (Kraschen. ex Poljakov) Poljakov,Seriphidium glanduligerum (Kraschen. ex Poljakov) Poljakov,Seriphidium glanduligerum (Kraschen. ex Poljakov) Poljakov,Seriphidium glanduligerum,Artemisia glanduligera Krasch. ex Poljakov,Artemisia glanduligera,Seriphidium,Artemisia
31194,Inula conyzae subsp. conyzae ,"Pentanema conyzae (Griess.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema conyzae (Griess.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema conyzae (Griess.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Pentanema conyzae,Inula conyza DC.,Inula conyza,Pentanema,Inula
31204,Vernonia johnstuttsii G.Lom.Sm.,Critoniopsis sodiroi (Hieron.) H.Rob.,Critoniopsis sodiroi (Hieron.) H.Rob.,Critoniopsis sodiroi (Hieron.) H.Rob.,Critoniopsis sodiroi,Vernonia johnstuttsii G.Lom.Sm.,Vernonia johnstuttsii,Critoniopsis,Vernonia
31222,Senecio phonolithicus Dinter,Curio corymbifer (DC.) Eggli,Curio corymbifer (DC.) Eggli,Curio corymbifer (DC.) Eggli,Curio corymbifer,Senecio sarcoides C.Jeffrey,Senecio sarcoides,Curio,Senecio
31321,Brachyscome sarasinii Däniker,Pytinicarpa neocaledonica (Guillaumin) G.L.Nesom,Pytinicarpa neocaledonica (Guillaumin) G.L.Nesom,Pytinicarpa neocaledonica (Guillaumin) G.L.Nesom,Pytinicarpa neocaledonica,Brachyscome neocaledonica Guillaumin,Brachyscome neocaledonica,Pytinicarpa,Brachyscome
31327,Parasenecio delphiniphyllus (H.Lév.) Y.L.Chen,Japonicalia delphiniifolia (Siebold & Zucc.) C.Ren & Q.E.Yang,Japonicalia delphiniifolia (Siebold & Zucc.) C.Ren & Q.E.Yang,Japonicalia delphiniifolia (Siebold & Zucc.) C.Ren & Q.E.Yang,Japonicalia delphiniifolia,Parasenecio delphiniphyllus (H.Lév.) Y.L.Chen,Parasenecio delphiniphyllus,Japonicalia,Parasenecio
31374,Artemisia terrae-albae Krasch.,Seriphidium terrae-albae (Krasch.) Poljakov,Seriphidium terrae-albae (Krasch.) Poljakov,Seriphidium terrae-albae (Krasch.) Poljakov,Seriphidium terrae-albae,Artemisia terrae-albae Krasch.,Artemisia terrae-albae,Seriphidium,Artemisia
31528,Pyrethrum tenuisectum Bertol.,Leucanthemum coronopifolium subsp. tenuifolium (Guss.) Vogt & Greuter,Leucanthemum coronopifolium subsp. tenuifolium (Guss.) Vogt & Greuter,Leucanthemum coronopifolium subsp. tenuifolium (Guss.) Vogt & Greuter,Leucanthemum coronopifolium,Tanacetum corymbosum subsp. corymbosum ,Tanacetum corymbosum,Leucanthemum,Tanacetum
31576,Inula hispanica Pau,"Pentanema britannicum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema britannicum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema britannicum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Pentanema britannicum,Inula britannica subsp. hispanica (Pau) O.Bolòs & Vigo,Inula britannica,Pentanema,Inula
31579,Eupatorium dubium Willd. ex Poir.,Eutrochium dubium (Willd. ex Poir.) E.E.Lamont,Eutrochium dubium (Willd. ex Poir.) E.E.Lamont,Eutrochium dubium (Willd. ex Poir.) E.E.Lamont,Eutrochium dubium,Eupatorium dubium Willd. ex Poiret,Eupatorium dubium,Eutrochium,Eupatorium
31584,Cacalia cuneifolia L.,Graphistylis cuneifolia (Gardner) B.Nord.,Graphistylis cuneifolia (Gardner) B.Nord.,Graphistylis cuneifolia (Gardner) B.Nord.,Graphistylis cuneifolia,Othonna arborescens L.,Othonna arborescens,Graphistylis,Othonna
31597,Eupatorium concinnitas Herter,Neocabreria concinna R.M.King & H.Rob.,Neocabreria concinna R.M.King & H.Rob.,Neocabreria concinna R.M.King & H.Rob.,Neocabreria concinna,Eupatorium concinnum DC.,Eupatorium concinnum,Neocabreria,Eupatorium
31753,Eriopus acaulis Sch.Bip. ex Baker,Prestelia eriopus Sch.Bip.,Prestelia eriopus Sch.Bip.,Prestelia eriopus Sch.Bip.,Prestelia eriopus,Trichocline eriopus Baker,Trichocline eriopus,Prestelia,Trichocline
31760,Erigeron klossii S.Moore,Tetramolopium klossii (S.Moore) Mattf.,Tetramolopium klossii (S.Moore) Mattf.,Tetramolopium klossii (S.Moore) Mattf.,Tetramolopium klossii,Erigeron klossii S.Moore,Erigeron klossii,Tetramolopium,Erigeron
31798,Centratherum javanicum (Miq.) Boerl.,Centratherum frutescens (Blume) Benth.,Centratherum frutescens (Blume) Benth.,Centratherum frutescens (Blume) Benth.,Centratherum frutescens,Phyllocephalum frutescens Blume,Phyllocephalum frutescens,Centratherum,Phyllocephalum
31852,Senecio kerberi Greenm.,Roldana kerberi (Greenm.) H.Rob. & Brettell,Roldana kerberi (Greenm.) H.Rob. & Brettell,Roldana kerberi (Greenm.) H.Rob. & Brettell,Roldana kerberi,Senecio kerberi Greenm.,Senecio kerberi,Roldana,Senecio
31854,Sonchus montanus Lam.,Cicerbita alpina Wallr.,Cicerbita alpina Wallr.,Cicerbita alpina Wallr.,Cicerbita alpina,Lactuca alpina (L.) A.Gray,Lactuca alpina,Cicerbita,Lactuca
31860,Vernonia senegalensis var. acuminata (Pers.) S.Moore,Vernonia colorata Drake,Vernonia colorata Drake,Vernonia colorata Drake,Vernonia colorata,Gymnanthemum coloratum (Willd.) H.Rob. & B.Kahn,Gymnanthemum coloratum,Vernonia,Gymnanthemum
31935,Aster ascendens Lindl.,Symphyotrichum ascendens (Lindl.) G.L.Nesom,Symphyotrichum ascendens (Lindl.) G.L.Nesom,Symphyotrichum ascendens (Lindl.) G.L.Nesom,Symphyotrichum ascendens,Aster ascendens Lindl.,Aster ascendens,Symphyotrichum,Aster
31958,Blumea abyssinica Sch.Bip. ex A.Rich.,Blumea bovei Vatke,Blumea bovei Vatke,Blumea bovei Vatke,Blumea bovei,Doellia bovei (DC.) Anderb.,Doellia bovei,Blumea,Doellia
31987,Artemisia santonicum subsp. monogyna (Waldst. & Kit.) Dostál,Seriphidium santonicum subsp. santonicum ,Seriphidium santonicum subsp. santonicum ,Seriphidium santonicum subsp. santonicum ,Seriphidium santonicum,Artemisia santonicum L.,Artemisia santonicum,Seriphidium,Artemisia
