,Region,Number of Taxa
138,IRE,1442
139,IRK,1727
140,IRN,8312
141,IRQ,3115
142,ITA,6141
143,IVO,3792
144,JAM,3086
145,JAP,5509
146,JAW,5403
147,JNF,262
148,KAM,1153
149,KAN,1743
150,KAZ,5326
151,KEG,32
152,KEN,6411
153,KER,129
154,KGZ,3929
155,KHA,1872
156,KOR,3242
157,KRA,2178
158,KRI,1964
159,KRY,2262
160,KTY,2131
161,KUR,1141
162,KUW,360
163,KZN,181
164,LAB,727
165,LAO,5235
166,LBR,2735
167,LBS,3894
168,LBY,1817
169,LDV,183
170,LEE,2083
171,LES,1641
172,LIN,50
173,LOU,2364
174,LSI,3100
175,MAG,1262
176,MAI,1671
177,MAN,1375
178,MAQ,42
179,MAS,1879
180,MAU,1002
181,MCI,70
182,MCS,10
183,MDG,11859
184,MDR,814
185,MDV,153
186,MIC,2035
187,MIN,1876
188,MLI,1858
189,MLW,4735
190,MLY,8900
191,MNT,2250
192,MOL,3353
193,MON,3010
194,MOR,4200
195,MOZ,5497
196,MPE,24
197,MRN,472
198,MRQ,364
199,MRS,125
200,MRY,2233
201,MSI,2339
202,MSO,2167
203,MTN,1009
204,MXC,7540
205,MXE,11401
206,MXG,7912
207,MXI,277
208,MXN,7047
209,MXS,14194
210,MXT,9348
211,MYA,9666
212,NAM,3814
213,NAT,5126
214,NBR,1150
215,NCA,2990
216,NCB,1263
217,NCS,4149
218,NDA,1138
219,NEB,1478
220,NEP,6262
221,NET,1935
222,NEV,2853
223,NFK,359
224,NFL,1011
225,NGA,4791
226,NGR,1079
227,NIC,5892
228,NLA,482
229,NNS,1835
230,NOR,3196
231,NRU,57
232,NSC,1122
233,NSW,6071
234,NTA,4136
235,NUE,216
236,NUN,622
237,NWC,3369
238,NWG,13473
239,NWH,1562
240,NWJ,2034
241,NWM,3482
242,NWT,1054
243,NWY,2445
244,NZN,1497
245,NZS,1939
246,OFS,2609
247,OGA,348
248,OHI,2024
249,OKL,2333
250,OMA,1314
251,ONT,2221
252,ORE,3274
253,PAK,4604
254,PAL,2800
255,PAN,10198
256,PAR,5347
257,PEI,708
258,PEN,2215
259,PER,20876
260,PHI,9424
261,PHX,28
262,PIT,118
263,POL,2967
264,POR,2698
265,PRM,2119
266,PUE,2395
267,QLD,8395
268,QUE,1968
269,REU,992
270,RHO,1349
271,ROD,206
272,ROM,3577
273,RUC,2118
274,RUE,2555
275,RUN,1907
276,RUS,2172
277,RUW,1530
278,RWA,2590
279,SAK,1258
280,SAM,860
281,SAR,2087
282,SAS,1308
283,SAU,2071
284,SCA,2688
285,SCI,624
286,SCS,210
287,SCZ,300
288,SDA,1453
289,SEL,98
290,SEN,2106
291,SEY,416
292,SGE,23
293,SIC,2557
294,SIE,2682
295,SIN,1243
296,SOA,3221
297,SOC,801
298,SOL,2305
299,SOM,3163
300,SPA,7045
301,SRL,3717
302,SSA,2
303,STH,89
304,SUD,4011
305,SUL,4702
306,SUM,7523
307,SUR,4495
308,SVA,200
309,SWC,264
310,SWE,3879
311,SWI,3408
312,SWZ,2629
313,TAI,4822
314,TAN,9749
315,TAS,1827
316,TCI,405
317,TCS,5648
318,TDC,98
319,TEN,2492
320,TEX,4817
321,THA,11288
322,TKM,2679
323,TOG,2030
324,TOK,70
325,TON,519
326,TRT,2569
327,TUA,153
328,TUB,377
329,TUE,2225
330,TUN,2405
331,TUR,10199
332,TUV,53
333,TVA,1708
334,TVL,5383
335,TZK,4347
336,UGA,4748
337,UKR,3282
338,URU,2591
339,UTA,2994
340,UZB,3920
341,VAN,1352
342,VEN,16340
343,VER,1683
344,VIC,3382
345,VIE,11993
346,VNA,827
347,VRG,2669
348,WAK,22
349,WAL,303
350,WAS,2499
351,WAU,10781
352,WDC,1095
353,WHM,5732
354,WIN,2036
355,WIS,1923
356,WSA,392
357,WSB,2411
358,WVA,1815
359,WYO,2302
360,XMS,215
361,YAK,1877
362,YEM,2073
363,YUG,5502
364,YUK,1125
365,ZAI,9527
366,ZAM,6209
367,ZIM,5303
