,taxon_name_w_authors,v10_11_12_13_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species,v14_chained_accepted_genus,v14_direct_accepted_genus
219687,Helianthemum variabile Spach,Tuberaria guttata (L.) Fourr.,Tuberaria guttata (L.) Fourr.,Tuberaria guttata (L.) Fourr.,Tuberaria guttata,Helianthemum apenninum (L.) Mill.,Helianthemum apenninum,Tuberaria,Helianthemum
220010,Diplotaxis vernalis Phil.,Tropidocarpum lanatum (Barnéoud) Al-Shehbaz & R.A.Price,Tropidocarpum lanatum (Barnéoud) Al-Shehbaz & R.A.Price,Tropidocarpum lanatum (Barnéoud) Al-Shehbaz & R.A.Price,Tropidocarpum lanatum,Rorippa mandonii (E.Fourn.) Mart.-Laborde,Rorippa mandonii,Tropidocarpum,Rorippa
228692,Viola tricolor var. polychroma (A.Kern.) Gams,Viola L.,Viola L.,Viola L.,,Viola tricolor subsp. subalpina Gaudin,Viola tricolor,,Viola
233844,Alsine rotundifolia (Poir.) Macloskie,Stellaria debilis d'Urv.,Stellaria debilis d'Urv.,Stellaria debilis d'Urv.,Stellaria debilis,Drymaria cordata (L.) Willd. ex Schult.,Drymaria cordata,Stellaria,Drymaria
233845,Stellaria rotundifolia Poir.,Stellaria debilis d'Urv.,Stellaria debilis d'Urv.,Stellaria debilis d'Urv.,Stellaria debilis,Drymaria cordata (L.) Willd. ex Schult.,Drymaria cordata,Stellaria,Drymaria
233846,Drymaria rotundifolia (Poir.) Har.,Stellaria debilis d'Urv.,Stellaria debilis d'Urv.,Stellaria debilis d'Urv.,Stellaria debilis,Drymaria cordata (L.) Willd. ex Schult.,Drymaria cordata,Stellaria,Drymaria
235458,Spergularia nobreana Samp.,Sagina hawaiensis Pax,Sagina hawaiensis Pax,Sagina hawaiensis Pax,Sagina hawaiensis,Spergularia media subsp. media,Spergularia media,Sagina,Spergularia
239260,Statice ciliata (Lange) Rothm.,Limonium durieui (Girard) Kuntze,Limonium durieui (Girard) Kuntze,Limonium durieui (Girard) Kuntze,Limonium durieui,Armeria ciliata (Lange) Nieto Fel.,Armeria ciliata,Limonium,Armeria
242620,Malva spicata L.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum,Melochia spicata (L.) Fryxell,Melochia spicata,Malvastrum,Melochia
250760,Parkia panurensis Benth. ex H.C.Hopkins,Parkia pectinata (Humb. & Bonpl. ex Willd.) Benth.,Parkia pectinata (Humb. & Bonpl. ex Willd.) Benth.,Dimorphandra cuprea Sprague & Sandwith,Dimorphandra cuprea,Parkia panurensis Benth. ex H.C.Hopkins,Parkia panurensis,Dimorphandra,Parkia
252370,Dendrophthoe heyneanus Blume,Psittacanthus cucullaris (Lam.) G.Don,Psittacanthus cucullaris (Lam.) G.Don,Psittacanthus cucullaris (Lam.) G.Don,Psittacanthus cucullaris,Taxillus heyneanus (Schult. & Schult.f.) Danser,Taxillus heyneanus,Psittacanthus,Taxillus
252561,Dolichos stipulaceus Lam.,Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep,Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep,Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep,Pueraria montana,Vigna stipulacea (Lam.) Kuntze,Vigna stipulacea,Pueraria,Vigna
254152,Paullinia grandiflora Cambess.,Paullinia pinnata L.,Paullinia pinnata L.,Paullinia pinnata L.,Paullinia pinnata,Serjania erecta Radlk.,Serjania erecta,Paullinia,Serjania
267543,Serruria hirsuta H.Buek ex Meisn.,Scoparia L.,Scoparia L.,Scoparia L.,,Serruria scoparia R.Br.,Serruria scoparia,,Serruria
268211,Meconopsis crassifolia Benth.,Stylophorum diphyllum (Michx.) Nutt.,Stylophorum diphyllum (Michx.) Nutt.,Chelidonium diphyllum Michx.,Chelidonium diphyllum,Papaver crassifolium (Benth.) Greene,Papaver crassifolium,Chelidonium,Papaver
270680,Stauracanthus aphyllus f. spartioides (Webb) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides,Ulex minor Roth,Ulex minor,Stauracanthus,Ulex
270683,Stauracanthus genistoides f. spartioides (Webb) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides,Ulex minor Roth,Ulex minor,Stauracanthus,Ulex
270688,Ulex genistoides f. spartioides (Webb) C.Vicioso,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides,Ulex minor Roth,Ulex minor,Stauracanthus,Ulex
270689,Ulex genistoides var. spartioides (Webb) C.Vicioso,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides (Brot.) Samp.,Stauracanthus genistoides,Ulex minor Roth,Ulex minor,Stauracanthus,Ulex
284257,Aniba megacarpa Hemsl.,Aniba canelilla (Kunth) Mez,Aniba canelilla (Kunth) Mez,Aniba canelilla (Kunth) Mez,Aniba canelilla,Licaria cannella subsp. cannella,Licaria cannella,Aniba,Licaria
284989,Ruschia decumbens L.Bolus,Antimima defecta (L.Bolus) H.E.K.Hartmann,Antimima defecta (L.Bolus) H.E.K.Hartmann,Antimima defecta (L.Bolus) H.E.K.Hartmann,Antimima defecta,Ruschia decumbens L.Bolus,Ruschia decumbens,Antimima,Ruschia
294638,"Sulcorebutia azurduyensis Gertel, Jucker & J.de Vries",Aylostera deminuta (F.A.C.Weber) Backeb.,Aylostera deminuta (F.A.C.Weber) Backeb.,Aylostera deminuta (F.A.C.Weber) Backeb.,Aylostera deminuta,Weingartia canigueralii (Cárdenas) F.H.Brandt,Weingartia canigueralii,Aylostera,Weingartia
294639,"Weingartia azurduyensis (Gertel, Jucker & J.de Vries) Hentzschel & K.Augustin",Aylostera deminuta (F.A.C.Weber) Backeb.,Aylostera deminuta (F.A.C.Weber) Backeb.,Aylostera deminuta (F.A.C.Weber) Backeb.,Aylostera deminuta,Weingartia canigueralii (Cárdenas) F.H.Brandt,Weingartia canigueralii,Aylostera,Weingartia
298710,Echinopepon palmeri S.Watson,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii,Echinopepon insularis S.Watson,Echinopepon insularis,Brandegea,Echinopepon
298712,Vaseyanthus insularis var. palmeri (S.Watson) Gentry,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii,Echinopepon insularis S.Watson,Echinopepon insularis,Brandegea,Echinopepon
298714,Vaseyanthus insularis var. brandegeei (Cogn.) I.M.Johnst.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii,Echinopepon insularis S.Watson,Echinopepon insularis,Brandegea,Echinopepon
298717,Vaseyanthus palmeri (S.Watson) Gentry,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii,Echinopepon insularis S.Watson,Echinopepon insularis,Brandegea,Echinopepon
298718,Vaseyanthus brandegeei (Cogn.) Rose,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii,Echinopepon insularis S.Watson,Echinopepon insularis,Brandegea,Echinopepon
298720,Brandegea palmeri (S.Watson) Rose,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii,Echinopepon insularis S.Watson,Echinopepon insularis,Brandegea,Echinopepon
298724,Echinocystis brandegeei Cogn.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii (S.Watson) Cogn.,Brandegea bigelovii,Echinopepon insularis S.Watson,Echinopepon insularis,Brandegea,Echinopepon
298768,Brassica nigra var. laevigata (DC.) Alef.,Mutarda carinata (A.Braun) D.A.German,Mutarda carinata (A.Braun) D.A.German,Mutarda carinata (A.Braun) D.A.German,Mutarda carinata,Erucastrum strigosum (Thunb.) O.E.Schulz,Erucastrum strigosum,Mutarda,Erucastrum
312463,Brassica mesopotamica (Spreng.) Bernh.,"Coincya tournefortii (Gouan) Alcaraz, T.E.Díaz, Rivas Mart. & Sánchez-Gómez","Coincya tournefortii (Gouan) Alcaraz, T.E.Díaz, Rivas Mart. & Sánchez-Gómez","Coincya tournefortii (Gouan) Alcaraz, T.E.Díaz, Rivas Mart. & Sánchez-Gómez",Coincya tournefortii,Mutarda arvensis (L.) D.A.German,Mutarda arvensis,Coincya,Mutarda
315017,Lithocardium macranthum (Cham.) Kuntze,Cordia alliodora (Ruiz & Pav.) Oken,Cordia alliodora (Ruiz & Pav.) Oken,Cordia alliodora (Ruiz & Pav.) Oken,Cordia alliodora,Varronia paucidentata (Fresen.) Friesen,Varronia paucidentata,Cordia,Varronia
317331,Luffa cylindrica var. multiflora (Spreng.) Domin,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo,Luffa aegyptiaca Mill.,Luffa aegyptiaca,Cucumis,Luffa
317575,Luffa arabum Steud.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo,Luffa aegyptiaca Mill.,Luffa aegyptiaca,Cucumis,Luffa
317594,Luffa jacquinii Schrad.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo,Luffa aegyptiaca Mill.,Luffa aegyptiaca,Cucumis,Luffa
317600,Luffa hederacea Wall. ex G.Don,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo,Luffa aegyptiaca Mill.,Luffa aegyptiaca,Cucumis,Luffa
317604,Luffa foetida Schrad.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo,Luffa aegyptiaca Mill.,Luffa aegyptiaca,Cucumis,Luffa
317611,Luffa striata Schrad.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo,Luffa aegyptiaca Mill.,Luffa aegyptiaca,Cucumis,Luffa
317617,Luffa veitchii Naudin,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo,Luffa aegyptiaca Mill.,Luffa aegyptiaca,Cucumis,Luffa
317620,Luffa vittata Zipp. ex Span.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo,Luffa aegyptiaca Mill.,Luffa aegyptiaca,Cucumis,Luffa
317624,Luffa luffa (L.) A.Lyons,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo,Luffa aegyptiaca Mill.,Luffa aegyptiaca,Cucumis,Luffa
317628,Luffa satpatia Buch.-Ham. ex G.Don,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo,Luffa aegyptiaca Mill.,Luffa aegyptiaca,Cucumis,Luffa
317632,Luffa parvala Buch.-Ham.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo,Luffa aegyptiaca Mill.,Luffa aegyptiaca,Cucumis,Luffa
317636,Luffa scabra Schumach. & Thonn.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo,Luffa aegyptiaca Mill.,Luffa aegyptiaca,Cucumis,Luffa
317640,Luffa racemosa Roxb.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo,Luffa aegyptiaca Mill.,Luffa aegyptiaca,Cucumis,Luffa
317647,Luffa clavata Roxb.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo,Luffa aegyptiaca Mill.,Luffa aegyptiaca,Cucumis,Luffa
317651,Luffa cordata Meisn. ex M.Roem.,Cucumis melo L.,Cucumis melo L.,Cucumis melo L.,Cucumis melo,Luffa aegyptiaca Mill.,Luffa aegyptiaca,Cucumis,Luffa
319520,Didymocarpus pallidus Kraenzl.,Rhynchotechum copelandii (Elmer) Merr.,Rhynchotechum copelandii (Elmer) Merr.,Rhynchotechum copelandii (Elmer) Merr.,Rhynchotechum copelandii,Cyrtandra edanoi Olivar & Pelser,Cyrtandra edanoi,Rhynchotechum,Cyrtandra
322746,Annona laevigata Mart.,Desmos chinensis Lour.,Desmos chinensis Lour.,Desmos chinensis Lour.,Desmos chinensis,Xylopia laevigata (Mart.) R.E.Fr.,Xylopia laevigata,Desmos,Xylopia
324460,Babactes oblongifolia (Roxb.) DC.,Didymocarpus acuminatus R.Br.,Didymocarpus acuminatus R.Br.,Didymocarpus acuminatus R.Br.,Didymocarpus acuminatus,Henckelia oblongifolia (Roxb.) D.J.Middleton & Mich.Möller,Henckelia oblongifolia,Didymocarpus,Henckelia
328286,Ehretia indica (Dennst. ex Kostel.) M.R.Almeida & S.M.Almeida,Ehretia aspera Willd.,Ehretia aspera Willd.,Ehretia aspera Willd.,Ehretia aspera,Blachia umbellata (Willd.) Baill.,Blachia umbellata,Ehretia,Blachia
332312,Cactus berteroi Colla,Eriosyce subgibbosa (Haw.) Katt.,Eriosyce subgibbosa (Haw.) Katt.,Eriosyce subgibbosa (Haw.) Katt.,Eriosyce subgibbosa,Cumulopuntia berteroi (Colla) F.Ritter,Cumulopuntia berteroi,Eriosyce,Cumulopuntia
332733,Brassica purpurascens Banks & Sol.,Erucaria hispanica (L.) Druce,Erucaria hispanica (L.) Druce,Erucaria hispanica (L.) Druce,Erucaria hispanica,Chorispora purpurascens (Banks & Sol.) Eig,Chorispora purpurascens,Erucaria,Chorispora
344949,Guioa chrysantha Radlk.,Guioa semiglauca (F.Muell.) Radlk.,Guioa semiglauca (F.Muell.) Radlk.,Guioa semiglauca (F.Muell.) Radlk.,Guioa semiglauca,Toechima dasyrrhache Radlk.,Toechima dasyrrhache,Guioa,Toechima
345634,Erythraea chironioides (Griseb.) A.Gray,Gyrandra Griseb.,Gyrandra Griseb.,Gyrandra Griseb.,,Gyrandra chironioides Griseb.,Gyrandra chironioides,,Gyrandra
346570,Hebenstretia fruticosa L.f.,Hebenstretia dentata L.,Hebenstretia dentata L.,Hebenstretia dentata L.,Hebenstretia dentata,Dischisma fruticosum (L.f.) Rolfe,Dischisma fruticosum,Hebenstretia,Dischisma
352679,Indigofera enneaphylla L.,Indigofera tsiangiana Metcalf,Indigofera tsiangiana Metcalf,Indigofera tsiangiana Metcalf,Indigofera tsiangiana,Psoralea pinnata L.,Psoralea pinnata,Indigofera,Psoralea
