accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_w_authors
17456900-1,Thelypteris brackenridgei,Thelypteris brackenridgei (Mett.) C.F.Reed,Aspleniaceae,Species,Thelypteris,Thelypteris Schmidel,3189785.0,331118-2,Genus,3171444,17128030-1,Species,Synonym,Aspleniaceae,,Lastrea,,attenuata,,,,J.Sm.,,J. Bot. (Hooker), 3: 412,(1841),,,,,Lastrea attenuata,J.Sm.,3169652.0,,,T,,17128030-1,,N,Thelypteris brackenridgei,Thelypteris brackenridgei (Mett.) C.F.Reed,17456900-1,3169652.0,Lastrea attenuata J.Sm.
798401-1,Zingiber zerumbet,Zingiber zerumbet (L.) Roscoe ex Sm.,Zingiberaceae,Species,Zingiber,Zingiber Mill.,273208.0,327297-2,Genus,219335,872127-1,Species,Illegitimate,Zingiberaceae,,Amomum,,latifolium,,,,Lam.,,Encycl., 1: 134,(1783),", nom. superfl.",,,seasonally dry tropical,Amomum latifolium,Lam.,273442.0,219560.0,L.,T,,872127-1,,Y,Zingiber zerumbet,Zingiber zerumbet (L.) Roscoe ex Sm.,798401-1,273442.0,Amomum latifolium Lam.
925309-1,Kubitzkia,Kubitzkia van der Werff,Lauraceae,Genus,,,,,,2591915,297638-2,Genus,Illegitimate,Lauraceae,,Systemonodaphne,,,,,,Mez,,Jahrb. Königl. Bot. Gart. Berlin, 5: 78,(1889),", nom. illeg.",,,,Systemonodaphne,Mez,2336133.0,,,T,,297638-2,,N,,,,,Systemonodaphne Mez
294481-1,Zehneria scabra,Zehneria scabra (L.f.) Sond.,Cucurbitaceae,Species,Zehneria,Zehneria Endl.,2470347.0,13446-1,Genus,2684493,291698-1,Species,Synonym,Cucurbitaceae,,Bryonia,,scabrata,,,,Blume,,Bijdr. Fl. Ned. Ind.,: 923,(1826),,,,,Bryonia scabrata,Blume,2470590.0,2747216.0,Blume,T,,291698-1,,N,Zehneria scabra,Zehneria scabra (L.f.) Sond.,294481-1,2470590.0,Bryonia scabrata Blume
71253-2,Cryptantha affinis,Cryptantha affinis (A.Gray) Greene,Boraginaceae,Species,Cryptantha,Cryptantha Lehm. ex G.Don,2745389.0,30000489-2,Genus,2401952,175870-2,Variety,Invalid,Boraginaceae,,Oreocarya,,affinis,var.,euaffinis,,Brand,H.G.A.Engler (ed.),Pflanzenr.,", IV, 252: 84",(1931),", not validly publ.",British Columbia to Montana,,,Oreocarya affinis var. euaffinis,Brand,2745392.0,2333382.0,A.Gray,T,,175870-2,,N,Cryptantha affinis,Cryptantha affinis (A.Gray) Greene,71253-2,2745392.0,Oreocarya affinis var. euaffinis Brand
325208-1,Epacris stuartii,Epacris stuartii Stapf,Ericaceae,Species,Epacris,Epacris Cav.,2789630.0,331594-2,Genus,2789693,93997-3,Variety,Synonym,Ericaceae,,Epacris,,heteronema,var.,planifolia,,Benth.,,Fl. Austral., 4: 239,(1868),,,,,Epacris heteronema var. planifolia,Benth.,2789821.0,,,T,,93997-3,,N,Epacris stuartii,Epacris stuartii Stapf,325208-1,2789821.0,Epacris heteronema var. planifolia Benth.
572310-1,Miconia coelestis,Miconia coelestis (D.Don) Naudin,Melastomataceae,Species,Miconia,Miconia Ruiz & Pav.,3030719.0,327221-2,Genus,3212247,2764-2,Species,Synonym,Melastomataceae,,Acinodendron,,coeruleum,,,D.Don,Kuntze,,Revis. Gen. Pl., 2: 950,(1891),,,,,Acinodendron coeruleum,(D.Don) Kuntze,3020201.0,3026028.0,,T,,2764-2,,N,Miconia coelestis,Miconia coelestis (D.Don) Naudin,572310-1,3020201.0,Acinodendron coeruleum (D.Don) Kuntze
572310-1,Miconia coelestis,Miconia coelestis (D.Don) Naudin,Melastomataceae,Species,Miconia,Miconia Ruiz & Pav.,3030719.0,327221-2,Genus,3026028,568053-1,Species,Synonym,Melastomataceae,,Cremanium,,coeruleum,,,,D.Don,,Mem. Wern. Nat. Hist. Soc., 4: 312,(1823),,,,,Cremanium coeruleum,D.Don,3020201.0,,,T,,568053-1,,N,Miconia coelestis,Miconia coelestis (D.Don) Naudin,572310-1,3020201.0,Cremanium coeruleum D.Don
907594-1,Sonchus × novocastellanus,Sonchus × novocastellanus Cirujano,Asteraceae,Species,Sonchus,Sonchus L.,3134215.0,327341-2,Genus,3062766,250378-1,Species,Synonym,Asteraceae,,Sonchus,,toletanus,,,,Sennen,,Diagn. Nouv.,: 282,(1936),,,,,Sonchus toletanus,Sennen,3062768.0,,,T,,250378-1,,N,Sonchus × novocastellanus,Sonchus × novocastellanus Cirujano,907594-1,3062768.0,Sonchus toletanus Sennen
641838-1,Luisia tenuifolia,Luisia tenuifolia Blume,Orchidaceae,Species,Luisia,Luisia Gaudich.,115513.0,29905-1,Genus,466418,77109841-1,Species,Illegitimate,Orchidaceae,,Luisia,,laurifolia,,,,M.R.Almeida,,Fl. Maharashtra, 5A: 66,(2009),", nom. superfl.",,,,Luisia laurifolia,M.R.Almeida,115572.0,53406.0,Lindl.,T,,77109841-1,,Y,Luisia tenuifolia,Luisia tenuifolia Blume,641838-1,115572.0,Luisia laurifolia M.R.Almeida
265193-1,Argyreia hirsuta,Argyreia hirsuta Wight & Arn.,Convolvulaceae,Species,Argyreia,Argyreia Lour.,482330.0,30164830-2,Genus,478426,77204785-1,Variety,Synonym,Convolvulaceae,,Argyreia,,hirsuta,var.,coacta,,C.B.Clarke,J.D.Hooker,Fl. Brit. India, 4: 189,(1883),,Ceylon,,,Argyreia hirsuta var. coacta,C.B.Clarke,482410.0,486384.0,Thwaites,T,,77204785-1,,Y,Argyreia hirsuta,Argyreia hirsuta Wight & Arn.,265193-1,482410.0,Argyreia hirsuta var. coacta C.B.Clarke
265193-1,Argyreia hirsuta,Argyreia hirsuta Wight & Arn.,Convolvulaceae,Species,Argyreia,Argyreia Lour.,482330.0,30164830-2,Genus,537736,77204786-1,Species,Synonym,Convolvulaceae,,Ipomoea,,coacta,,,C.B.Clarke,J.R.I.Wood & Scotland,,Nat. Plants, 5(11): 1136-44 (Suppl.: 26),(2019),,,,,Ipomoea coacta,(C.B.Clarke) J.R.I.Wood & Scotland,482410.0,478426.0,,T,,77204786-1,,Y,Argyreia hirsuta,Argyreia hirsuta Wight & Arn.,265193-1,482410.0,Ipomoea coacta (C.B.Clarke) J.R.I.Wood & Scotland
1041530-2,Hypericum undulatum var. boeticum,Hypericum undulatum var. boeticum (Boiss.) Lange,Hypericaceae,Variety,Hypericum undulatum,Hypericum undulatum Schousb. ex Willd.,516849.0,325121-2,Species,514864,1078282-2,Variety,Synonym,Hypericaceae,,Hypericum,,acutum,var.,rotundifolium,Willk.,Schinz,,Bull. Herb. Boissier,", sér. 2, 3: 16",(1902),,,,,Hypericum acutum var. rotundifolium,(Willk.) Schinz,516850.0,516774.0,,T,,1078282-2,,Y,Hypericum undulatum,Hypericum undulatum Schousb. ex Willd.,325121-2,516849.0,Hypericum acutum var. rotundifolium (Willk.) Schinz
1041530-2,Hypericum undulatum var. boeticum,Hypericum undulatum var. boeticum (Boiss.) Lange,Hypericaceae,Variety,Hypericum undulatum,Hypericum undulatum Schousb. ex Willd.,516849.0,325121-2,Species,516774,325134-2,Variety,Synonym,Hypericaceae,,Hypericum,,tetrapterum,var.,rotundifolium,,Willk.,M.Willkomm & J.M.C.Lange,Prodr. Fl. Hispan., 3: 591,(1878),,S. Spain,perennial,temperate,Hypericum tetrapterum var. rotundifolium,Willk.,516850.0,515091.0,Boiss.,T,,325134-2,,Y,Hypericum undulatum,Hypericum undulatum Schousb. ex Willd.,325121-2,516849.0,Hypericum tetrapterum var. rotundifolium Willk.
224391-2,Rumex acetosella,Rumex acetosella L.,Polygonaceae,Species,Rumex,Rumex L.,2425606.0,328551-2,Genus,2617066,20010974-1,Subspecies,Synonym,Polygonaceae,,Acetosella,,multifida,subsp.,vulgaris,Fourr.,Kubát,,Severočeskou Přír., 19: 41,(1986),,,,,Acetosella multifida subsp. vulgaris,(Fourr.) Kubát,2424185.0,2617201.0,,T,,20010974-1,,N,Rumex acetosella,Rumex acetosella L.,224391-2,2424185.0,Acetosella multifida subsp. vulgaris (Fourr.) Kubát
77252981-1,Sapindus saponaria var. jardiniana,Sapindus saponaria var. jardiniana F.Br.,Sapindaceae,Variety,Sapindus saponaria,Sapindus saponaria L.,2582258.0,30035906-2,Species,2582651,227446-2,Form,Synonym,Sapindaceae,,Sapindus,,saponaria,f.,microcarpus,,Radlk.,C.F.P.von Martius & auct. suc. (eds.),Fl. Bras., 13(3): 517,(1900),,,,,Sapindus saponaria f. microcarpus,Radlk.,3011264.0,2582314.0,Jard.,T,,227446-2,,N,Sapindus saponaria,Sapindus saponaria L.,30035906-2,2582258.0,Sapindus saponaria f. microcarpus Radlk.
641852-1,Luisia zeylanica,Luisia zeylanica Lindl.,Orchidaceae,Species,Luisia,Luisia Gaudich.,115513.0,29905-1,Genus,115561,641828-1,Species,Illegitimate,Orchidaceae,,Luisia,,platyglossa,,,,Rchb.f.,W.G.Walpers,Ann. Bot. Syst., 6: 622,(1863),", nom. superfl.",,,,Luisia platyglossa,Rchb.f.,115585.0,115585.0,Lindl.,T,,641828-1,,Y,Luisia zeylanica,Luisia zeylanica Lindl.,641852-1,115585.0,Luisia platyglossa Rchb.f.
252128-2,Teuscheria wageneri,Teuscheria wageneri (Rchb.f.) Garay,Orchidaceae,Species,Teuscheria,Teuscheria Garay,203503.0,297659-2,Genus,339902,269652-2,Variety,Synonym,Orchidaceae,,Xylobium,,corrugatum,var.,wageneri,Rchb.f.,Schltr.,,Orchis, 7: 22,(1912),,,,,Xylobium corrugatum var. wageneri,(Rchb.f.) Schltr.,203511.0,22101.0,,T,,269652-2,,Y,Teuscheria wageneri,Teuscheria wageneri (Rchb.f.) Garay,252128-2,203511.0,Xylobium corrugatum var. wageneri (Rchb.f.) Schltr.
252128-2,Teuscheria wageneri,Teuscheria wageneri (Rchb.f.) Garay,Orchidaceae,Species,Teuscheria,Teuscheria Garay,203503.0,297659-2,Genus,215428,269689-2,Species,Synonym,Orchidaceae,,Xylobium,,wageneri,,,Rchb.f.,Schltr.,,Repert. Spec. Nov. Regni Veg. Beih., 6: 85,(1919),,,,,Xylobium wageneri,(Rchb.f.) Schltr.,203511.0,22101.0,,T,,269689-2,,Y,Teuscheria wageneri,Teuscheria wageneri (Rchb.f.) Garay,252128-2,203511.0,Xylobium wageneri (Rchb.f.) Schltr.
271239-1,Stylisma humistrata,Stylisma humistrata (Walter) Chapm.,Convolvulaceae,Species,Stylisma,Stylisma Raf.,479740.0,12015-1,Genus,483259,36342-2,Species,Illegitimate,Convolvulaceae,,Breweria,,trichosanthes,,,,Small,,Fl. S.E. U.S.,: 959,(1903),", nom. superfl.",,,,Breweria trichosanthes,Small,479829.0,484497.0,Michx.,T,,36342-2,,Y,Stylisma humistrata,Stylisma humistrata (Walter) Chapm.,271239-1,479829.0,Breweria trichosanthes Small
1085378-2,Moricandia arvensis,Moricandia arvensis (L.) DC.,Brassicaceae,Species,Moricandia,Moricandia DC.,2360751.0,12813-1,Genus,2626705,277262-1,Species,Synonym,Brassicaceae,,Agrosinapis,,arvensis,,,L.,Fourr.,,Ann. Soc. Linn. Lyon,", n.s., 16: 329",(1868),,,,,Agrosinapis arvensis,(L.) Fourr.,2360753.0,2681998.0,,T,,277262-1,,N,Moricandia arvensis,Moricandia arvensis (L.) DC.,1085378-2,2360753.0,Agrosinapis arvensis (L.) Fourr.
518323-1,Senna alexandrina,Senna alexandrina Mill.,Fabaceae,Species,Senna,Senna Mill.,2491975.0,30000132-2,Genus,2702600,484054-1,Species,Illegitimate,Fabaceae,,Cassia,,acutifolia,,,,Delile,,"Descr. Egypte, Hist. Nat."," 2(Mém.): 75, 219",(1813),", nom. superfl.",,,,Cassia acutifolia,Delile,2590759.0,2590759.0,Mill.,T,,484054-1,,Y,Senna alexandrina,Senna alexandrina Mill.,518323-1,2590759.0,Cassia acutifolia Delile
59704-1,Amaranthus urceolatus,Amaranthus urceolatus Benth.,Amaranthaceae,Species,Amaranthus,Amaranthus L.,2632636.0,327362-2,Genus,3275451,77214714-1,Subspecies,Synonym,Amaranthaceae,,Amaranthus,,polygonoides,subsp.,urceolatus,Andersson,Iamonico,,Acta Bot. Mex., 127(e1687): 6,(2020),,,,,Amaranthus polygonoides subsp. urceolatus,(Andersson) Iamonico,2633151.0,2480061.0,,T,,77214714-1,,N,Amaranthus urceolatus,Amaranthus urceolatus Benth.,59704-1,2633151.0,Amaranthus polygonoides subsp. urceolatus (Andersson) Iamonico
834129-1,Grewia carpinifolia,Grewia carpinifolia Juss.,Malvaceae,Species,Grewia,Grewia L.,2832866.0,30123138-2,Genus,2833357,834504-1,Species,Illegitimate,Malvaceae,,Grewia,,rhamnifolia,,,,Roth,,Nov. Pl. Sp.,: 244,(1821),", nom. superfl.","India, Sri Lanka",shrub,seasonally dry tropical,Grewia rhamnifolia,Roth,2832965.0,2832965.0,Juss.,T,,834504-1,,N,Grewia carpinifolia,Grewia carpinifolia Juss.,834129-1,2832965.0,Grewia rhamnifolia Roth
429123-1,Quiina guianensis,Quiina guianensis Aubl.,Ochnaceae,Species,Quiina,Quiina Aubl.,2868501.0,19400-1,Genus,2416064,429219-1,Species,Synonym,Ochnaceae,,Robinsonia,,guianensis,,,Aubl.,J.F.Gmel.,,Syst. Nat. ed. 13[bis].,: 796,(1791),,,,,Robinsonia guianensis,(Aubl.) J.F.Gmel.,2868518.0,2868518.0,,T,,429219-1,,N,Quiina guianensis,Quiina guianensis Aubl.,429123-1,2868518.0,Robinsonia guianensis (Aubl.) J.F.Gmel.
65767-2,Coreopsis auriculata,Coreopsis auriculata L.,Asteraceae,Species,Coreopsis,Coreopsis L.,3133719.0,60437222-2,Genus,3117373,229137-1,Species,Illegitimate,Asteraceae,,Leachia,,trifoliata,,,,Cass.,G.-F.Cuvier,Dict. Sci. Nat. ed. 2., 25: 389,(1822),", nom. superfl.",,,,Leachia trifoliata,Cass.,3117013.0,3117013.0,L.,T,,229137-1,,N,Coreopsis auriculata,Coreopsis auriculata L.,65767-2,3117013.0,Leachia trifoliata Cass.
17521720-1,Deparia petersenii var. yakusimensis,Deparia petersenii var. yakusimensis (H.Itô) M.Kato,Aspleniaceae,Variety,Deparia petersenii,Deparia petersenii (Kunze) M.Kato,3149755.0,17554430-1,Species,3178020,17560290-1,Form,Synonym,Aspleniaceae,,Deparia,,conilii,f.,yakusimensis,H.Itô,Nakaike,,New Fl. Jap. Pterid.,: 840,(1992),,,,,Deparia conilii f. yakusimensis,(H.Itô) Nakaike,3178021.0,3231869.0,,T,,17560290-1,,N,Deparia petersenii,Deparia petersenii (Kunze) M.Kato,17554430-1,3149755.0,Deparia conilii f. yakusimensis (H.Itô) Nakaike
